strategy,k,n_sampled,sampling_rate,h0_features,h1_features,h0_total_persistence,h1_total_persistence,h0_max_persistence,h1_max_persistence
uniform,5,1177,0.19989809782608695,5000,2383,7302.571216776967,934.6043617129326,5.700366020202637,6.746059417724609
uniform,10,588,0.09986413043478261,4250,1982,6057.485686421394,710.5602828264236,4.1835103034973145,5.569578170776367
length_stratified,5,1175,0.1995584239130435,5000,2453,7238.979429706931,924.776830136776,3.939000129699707,7.964563369750977
length_stratified,10,586,0.09952445652173914,4369,2051,6202.9627077281475,740.6939181685448,3.286947727203369,4.515448093414307
spatial_clustering,5,956,0.16236413043478262,5000,2371,7437.120166406035,918.5375716686249,6.4682111740112305,8.97592544555664
spatial_clustering,10,470,0.07982336956521739,4092,1868,5873.321682468057,668.8861848115921,3.382375717163086,5.642174005508423
density_based,5,1177,0.19989809782608695,5000,2278,7733.5199288874865,970.8894407749176,5.75252628326416,6.188812255859375
density_based,10,588,0.09986413043478261,5000,2379,7169.07228204608,851.4117461442947,4.203023433685303,7.790157318115234
topology_preserving,5,1165,0.19786005434782608,5000,2378,7434.421445950866,923.8343188762665,5.823704242706299,4.8372087478637695
topology_preserving,10,577,0.09799592391304347,4460,2120,6357.874859988689,739.406242609024,3.4497029781341553,6.767917633056641
